"Notes"	"Residence Census Region"	"Residence Census Region Code"	"MMWR Week"	"MMWR Week Code"	Deaths	Population	Crude Rate
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 38 ending September 19, 2020"	"2020/38"	9392	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 39 ending September 26, 2020"	"2020/39"	9810	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 40 ending October 03, 2020"	"2020/40"	9511	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 41 ending October 10, 2020"	"2020/41"	9916	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 42 ending October 17, 2020"	"2020/42"	9574	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 43 ending October 24, 2020"	"2020/43"	9875	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 44 ending October 31, 2020"	"2020/44"	9859	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 45 ending November 07, 2020"	"2020/45"	10747	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 46 ending November 14, 2020"	"2020/46"	10760	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 47 ending November 21, 2020"	"2020/47"	11168	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 48 ending November 28, 2020"	"2020/48"	11739	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 49 ending December 05, 2020"	"2020/49"	12636	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 50 ending December 12, 2020"	"2020/50"	13577	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 51 ending December 19, 2020"	"2020/51"	14019	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 52 ending December 26, 2020"	"2020/52"	14571	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week 53 ending January 02, 2021"	"2020/53"	14518	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2020 Week Not Available"	"2020/99"	194	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 01 ending January 09, 2021"	"2021/01"	14120	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 02 ending January 16, 2021"	"2021/02"	14353	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 03 ending January 23, 2021"	"2021/03"	13892	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 04 ending January 30, 2021"	"2021/04"	13515	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 05 ending February 06, 2021"	"2021/05"	13167	Not Applicable	Not Applicable
	"Census Region 1: Northeast"	"CENS-R1"	"2021 Week 06 ending February 13, 2021"	"2021/06"	12330	Not Applicable	Not Applicable
